,0,1
257,The Troggs,Wild Thing
258,The Who,I Can See for Miles
259,Jeff Buckley,Hallelujah
260,The Dells,Oh What a Nite
261,Stevie Wonder,Higher Ground
262,Smokey Robinson and The Miracles,Ooo Baby Baby
263,The Crystals,He's a Rebel
264,Randy Newman,Sail Away
265,Archie Bell & The Drells,Tighten Up
266,The Ronettes,Walking in the Rain
267,New York Dolls,Personality Crisis
268,U2,Sunday Bloody Sunday [Live]
269,The Modern Lovers,Roadrunner
270,George Jones,He Stopped Loving Her Today
271,The Beach Boys,Sloop John B
272,Chuck Berry,Sweet Little Sixteen
273,The Beatles,Something
274,Jefferson Airplane,Somebody to Love
275,Bruce Springsteen,Born in the U.S.A.
276,The Staple Singers,I'll Take You There
277,David Bowie,Ziggy Stardust
278,The Cure,Pictures of You
279,The Dixie Cups,Chapel of Love
280,Bill Withers,Ain't No Sunshine
281,Stevie Wonder,You Are the Sunshine of My Life
282,Joni Mitchell,Help Me
283,Blondie,Call Me
284,Elvis Costello,"(What's So Funny 'Bout) Peace, Love & Understanding"
285,Howlin' Wolf,Smokestack Lightnin
286,Pavement,Summer Babe [Winter Version]
287,Run-DMC,Walk This Way
288,Barrett Strong,Money (That's What I Want)
289,The Beatles,Can't Buy Me Love
290,Eminem,Stan
291,The Zombies,She's Not There
292,The Clash,Train in Vain
293,Al Green,Tired of Being Alone
294,Led Zeppelin,Black Dog
295,The Rolling Stones,Street Fighting Man
296,Bob Marley & The Wailers,Get Up Stand Up
297,Neil Young,Heart of Gold
298,Blondie,One Way or Another
299,Prince,Sign 'O' the Times
300,Madonna,Like a Prayer
301,Rod Stewart,Do Ya Think I'm Sexy?
302,Willie Nelson,Blue Eyes Crying in the Rain
303,The Rolling Stones,Ruby Tuesday
304,The Beatles,With a Little Help From My Friends
305,James Brown,Say It Loud (I'm Back And I'm Proud)
306,The Jam,That's Entertainment
307,The Teenagers Featuring Frankie Lymon,Why Do Fools Fall in Love
308,Jackie Wilson,Lonely Teardrops
309,Tina Turner,What's Love Got to Do With It
310,Black Sabbath,Iron Man
311,Everly Brothers,Wake Up Little Susie
312,Roy Orbison,In Dreams
313,Screamin' Jay Hawkins,I Put a Spell on You
314,Pink Floyd,Comfortably Numb
315,The Animals,Don't Let Me Be Misunderstood
316,Pink Floyd,Wish You Were Here
317,Jimmy Cliff,Many Rivers to Cross
318,Elvis Costello,Alison
319,Alice Cooper,School's Out
320,Led Zeppelin,Heartbreaker
321,Neil Young,Cortez the Killer
322,Public Enemy,Fight the Power
323,Patty Smyth,Dancing Barefoot
324,The Supremes,Baby Love
325,The Young Rascals,Good Lovin'
326,James Brown,Sex Machine
327,The Impressions,For Your Precious Love
328,The Doors,The End
329,"Earth, Wind & Fire",That's the Way of the World
330,Queen,We Will Rock You
331,Bonnie Raitt,I Can't Make You Love Me
332,Bob Dylan,Subterranean Homesick Blues
333,Norman Greenbaum,Spirit in the Sky
334,The Rolling Stones,Wild Horses
335,The Velvet Underground,Sweet Jane
336,Aerosmith,Walk This Way
337,Michael Jackson,Beat It
338,Wings,Maybe I'm Amazed
339,The Supremes,You Keep Me Hanging On
340,The Who,Baba O'Riley
341,Jimmy Cliff,The Harder They Come
342,Dion,Runaround Sue
343,LaVern Baker,Jim Dandy
344,Janis Joplin,Piece of My Heart
345,Ritchie Valens,La Bamba
346,2Pac,California Love
347,Elton John,Candle in the Wind
348,The Isley Brothers,That Lady (Part 1 & 2)
349,Ben E. King,Spanish Harlem
350,Little Eva,Loco-Motion
351,The Platters,Great Pretender
352,Elvis Presley,All Shook Up
353,Eric Clapton,Tears in Heaven
354,Elvis Costello,Watching the Detective
355,Creedence Clearwater Revival,Bad Moon Rising
356,Eurythmics,Sweet Dreams
357,Jimi Hendrix,Little Wing
358,Martha Reeves & The Vandellas,Nowhere to Run
359,Muddy Waters,Got My Mojo Working
360,Roberta Flack,Killing Me Softly With His Song
361,The Clash,Complete Control
362,The Beatles,All You Need Is Love
363,Box Tops,The Letter
364,Bob Dylan,Highway 61 Revisited
365,The Righteous Brothers,Unchained Melody
366,Bee Gees,How Deep Is Your Love
367,Cream,White Room
368,Depeche Mode,Personal Jesus
369,Bo Diddley,I'm a Man
370,Jimi Hendrix,The Wind Cries Mary
371,The Who,I Can't Explain
372,Television,Marquee Moon
373,Sam Cooke,(What A) Wonderful World
374,Chuck Berry,Brown-Eyed Handsome Man
375,Pink Floyd,Another Brick in the Wall (Part II)
376,Radiohead,Fake Plastic Trees
377,Ray Charles,Hit the Road Jack
378,U2,Pride (In the Name of Love)
379,R.E.M.,Radio Free Europe [Original Hib-Tone Single]
380,Elton John,Goodbye Yellow Brick Road
381,Aaron Neville,Tell It Like It Is
382,The Verve,Bitter Sweet Symphony
383,The Allman Brothers Band,Whipping Post
384,The Beatles,Ticket to Ride
385,"Crosby, Stills, Nash & Young",Ohio
386,Eric B. & Rakim,I Know You Got Soul
387,Elton John,Tiny Dancer
388,The Police,Roxanne
